EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,P+_VX_MOMENT_km/s,P+_VY_MOMENT_km/s,P+_VZ_MOMENT_km/s,P+_WPAR_MOMENT_km/s,P+_N_MOMENT_cm^{-3},BX_nT,BY_nT,BZ_nT
2003-11-20T00:01:12.248Z,-443.77,13.8583,-30.3427,61.7658,3.63443,-4.50061,-1.42497,1.65492
2003-11-20T00:02:49.401Z,-431.468,8.45127,-26.8771,76.8411,2.87789,-4.60287,-0.843551,1.37721
2003-11-20T00:04:26.554Z,-433.741,9.0647,-27.36,78.449,2.38412,-5.00291,-0.604163,0.860529
2003-11-20T00:06:03.707Z,-428.475,8.59441,-29.1389,69.1899,2.86521,-4.8581,-0.703512,0.440883
2003-11-20T00:07:40.861Z,-429.103,9.16198,-24.6847,70.6165,2.75868,-4.95705,-0.684132,0.052745
2003-11-20T00:09:18.014Z,-431.672,7.02279,-25.2612,77.5695,3.03311,-4.69997,-0.759946,-0.32404
2003-11-20T00:10:55.167Z,-436.634,-0.437425,-14.0193,73.834,3.29786,-4.77663,-0.788643,-1.11375
2003-11-20T00:12:32.320Z,-433.53,2.0441,-27.8554,73.3635,3.64495,-4.71277,-1.23146,-0.0118574
2003-11-20T00:14:09.473Z,-433.621,6.15761,-24.1144,72.1627,3.3594,-4.80752,-1.31725,-0.176184
2003-11-20T00:15:46.626Z,-432.112,5.38201,-20.0196,64.7308,4.16457,-5.21849,-1.2564,-0.499242
2003-11-20T00:17:23.779Z,-436.653,3.49424,-19.052,71.0134,3.72992,-5.00874,-1.01817,-0.986818
2003-11-20T00:19:00.932Z,-443.933,5.90461,-22.4879,72.6662,3.91042,-4.91585,-1.10881,-1.15457
2003-11-20T00:20:38.085Z,-445.66,-1.19889,-22.329,70.3428,3.92125,-4.73132,-0.57793,-1.59037
2003-11-20T00:22:15.238Z,-440.099,-1.05595,-23.2576,66.1373,4.03189,-4.53424,-0.295258,-1.70096
2003-11-20T00:23:52.391Z,-437.21,1.35393,-17.0945,68.9057,3.80678,-4.48949,-0.721105,-1.97767
2003-11-20T00:25:26.509Z,-435.67,1.36075,-14.7007,65.8008,4.10638,-4.3146,-0.479891,-2.35776
2003-11-20T00:27:03.662Z,-434.686,5.16183,-11.6539,61.9818,4.31197,-4.04589,-0.325497,-2.14519
2003-11-20T00:28:40.815Z,-438.488,6.26865,-8.51198,60.6672,4.17504,-3.78891,-0.142601,-2.46759
2003-11-20T00:30:17.968Z,-436.176,3.47088,-9.26335,61.9295,4.20993,-3.90097,-0.131281,-2.39184
2003-11-20T00:31:55.121Z,-436.385,-0.0454272,-10.8417,59.3817,4.83355,-3.38404,0.0543607,-2.71948
2003-11-20T00:33:32.274Z,-436.016,1.20076,-12.3255,57.952,5.08111,-3.07355,0.196029,-3.01565
2003-11-20T00:35:09.427Z,-437.92,-0.0403975,-6.69768,56.5711,5.31145,-3.10351,0.120515,-3.29854
2003-11-20T00:36:46.580Z,-436.205,0.477323,-10.6446,57.1365,5.15768,-3.13805,-0.0200742,-3.49245
2003-11-20T00:38:23.733Z,-435.593,-2.88542,-9.6844,55.2812,5.27008,-3.21738,-0.0147143,-3.55848
2003-11-20T00:40:00.886Z,-439.715,-5.21942,-10.2577,57.0208,5.31046,-3.22162,0.153171,-3.78817
2003-11-20T00:41:38.039Z,-439.176,-6.29065,-12.1018,59.0026,5.48942,-3.20556,-0.344871,-4.03591
2003-11-20T00:43:15.193Z,-440.896,2.23628,-12.2647,52.4223,5.22023,-3.07441,-1.03051,-4.42324
2003-11-20T00:44:52.346Z,-441.257,14.2552,-12.9489,56.1854,4.88106,-2.68795,-1.77913,-4.42915
2003-11-20T00:46:29.499Z,-440.683,-14.3791,-21.396,74.7548,3.55485,-1.23591,0.199213,-1.19293
2003-11-20T00:48:06.652Z,-463.361,2.7647,-19.2011,57.0527,3.26668,-1.49086,1.75609,4.62845
2003-11-20T00:49:43.805Z,-445.904,-3.11522,-17.4113,70.0915,3.44049,-0.267036,0.820495,4.79301
2003-11-20T00:51:20.958Z,-449.881,-4.39426,-23.0888,61.2058,3.04752,-1.33242,1.40646,4.63214
2003-11-20T00:52:58.111Z,-447.596,-2.7403,-19.7691,66.8592,2.8249,-1.2273,1.82013,4.34569
2003-11-20T00:54:35.264Z,-450.594,-1.97061,-25.2595,55.4238,3.22286,-0.921802,1.52731,4.32831
2003-11-20T00:56:12.417Z,-452.259,-5.26844,-23.2966,70.6257,3.44846,-0.677002,1.69507,4.30282
2003-11-20T00:57:49.570Z,-445.519,-2.18849,-33.907,59.897,3.51939,-0.562192,2.11836,4.56318
2003-11-20T00:59:26.724Z,-428.075,-9.09285,-13.2159,84.3326,3.42139,-0.08031,1.79803,3.76149
2003-11-20T01:01:03.877Z,-424.111,-8.26758,-15.6611,81.159,3.39571,0.00277996,1.97839,3.53996
2003-11-20T01:02:41.030Z,-422.946,-4.90482,-20.6144,79.0197,3.51476,0.0500685,2.08604,2.67367
2003-11-20T01:04:18.183Z,-421.335,0.879247,-15.2725,78.89,3.64621,-0.00905568,2.86572,2.66784
2003-11-20T01:05:55.336Z,-422.117,3.84875,-19.4305,75.9236,3.88804,0.00326644,2.78887,1.8411
2003-11-20T01:07:32.489Z,-417.361,1.7578,-22.8223,85.3369,3.10078,-0.169463,2.65064,1.73348
2003-11-20T01:09:09.642Z,-422.772,-0.813946,-11.917,79.2158,3.39374,-3.20448,1.00048,1.49625
2003-11-20T01:10:46.795Z,-420.036,-11.0896,-14.5879,58.8038,5.62747,-3.70146,0.00473029,2.86991
2003-11-20T01:12:23.948Z,-407.013,-3.69183,4.62876,57.383,5.49807,-3.3748,1.40634,2.696
2003-11-20T01:14:01.101Z,-422.301,-19.5792,1.337,64.881,4.29547,-2.5163,1.48567,2.79525
2003-11-20T01:15:38.254Z,-407.852,-24.2154,-22.7832,49.5457,3.21942,-0.622396,-0.320096,3.80656
2003-11-20T01:17:15.408Z,-411.026,-31.3738,-2.86481,113.896,2.52529,0.576906,-0.00851512,3.17701
2003-11-20T01:18:52.561Z,-388.202,-17.6137,-21.4955,64.2488,2.3717,2.27475,2.00396,0.867124
2003-11-20T01:20:29.714Z,-399.954,-6.1296,-29.4418,78.2282,2.04251,1.31118,2.5515,-0.10644
2003-11-20T01:22:06.867Z,-418.033,-3.92814,-35.4597,86.4466,2.35939,1.30342,3.48088,-0.849752
2003-11-20T01:23:44.020Z,-412.715,-9.64878,-46.5717,73.9624,2.31899,2.36963,3.32811,-1.13004
2003-11-20T01:26:58.326Z,-374.497,-21.3086,-46.5249,69.4009,1.86761,3.63428,1.55642,-0.0386317
2003-11-20T01:28:35.479Z,-391.11,-8.70752,-36.7704,74.0909,2.25914,3.1275,2.18073,0.46024
2003-11-20T01:30:12.632Z,-421.239,7.87423,-31.9329,78.7026,2.6723,-0.0650456,2.95656,1.13918
2003-11-20T01:31:49.785Z,-423.815,3.446,-38.1964,79.0788,2.76557,-0.516368,2.99597,1.72369
2003-11-20T01:33:26.939Z,-433.679,1.60392,-32.4608,69.4234,3.60938,-1.48195,2.64337,2.35594
2003-11-20T01:35:04.092Z,-429.997,-3.5638,-34.0441,67.9946,3.55512,-1.77255,2.41101,2.9507
2003-11-20T01:36:41.245Z,-436.999,-3.3075,-29.7425,62.4279,3.47797,-2.38301,1.20699,3.43512
2003-11-20T01:38:18.398Z,-443.491,-0.992846,-30.7077,59.3349,4.21131,-2.17839,0.259065,3.60368
2003-11-20T01:39:55.551Z,-439.783,4.75901,-25.2698,63.9926,3.95744,-2.58903,-0.308098,3.26684
2003-11-20T01:41:32.704Z,-432.621,3.62441,-25.9722,58.7666,4.09661,-2.46648,-0.449058,3.45356
2003-11-20T01:43:09.857Z,-423.442,-1.82378,-22.863,65.5778,4.11352,-2.97365,-0.518735,3.18981
2003-11-20T01:44:47.010Z,-427.085,-1.05924,-22.6892,57.3619,4.34535,-3.12519,-0.831997,3.48811
2003-11-20T01:46:24.163Z,-425.122,-2.37813,-20.6456,58.7659,4.37096,-3.21946,-1.05074,3.30514
2003-11-20T01:48:01.316Z,-422.726,0.871841,-10.6482,59.7353,4.49546,-3.60429,-1.71262,2.01712
2003-11-20T01:49:38.469Z,-434.808,-1.58088,6.85316,70.3046,4.2271,-3.60765,-0.895605,1.07598
2003-11-20T01:51:15.623Z,-429.582,-19.8166,-8.8309,72.7869,2.31513,1.58619,2.97499,1.98283
